iter	TotalF1	MultiClass
126	0.5450217269	0.9941061447
127	0.5453071171	0.9938451361
128	0.5456932321	0.9934059868
129	0.5460402408	0.9931555388
130	0.5461828598	0.9928203291
131	0.5460624392	0.9926056721
132	0.5461972352	0.99243435
133	0.5462428926	0.9921842801
134	0.5463293474	0.9920810687
135	0.5464664071	0.991721335
136	0.5467174895	0.9913587142
137	0.5470991678	0.9910872964
138	0.5470817102	0.990797776
139	0.5465722317	0.9904846153
140	0.5468336904	0.9901873838
141	0.5468402992	0.9901854655
142	0.5471330202	0.9900388672
143	0.5473278537	0.9899391155
144	0.5475925505	0.9896495411
145	0.5476293152	0.989318553
146	0.5478986617	0.9891118271
147	0.5482445764	0.9888716885
148	0.5480481333	0.9887952495
149	0.5481416196	0.9886450589
150	0.5480289287	0.9884597094
151	0.5481694187	0.9883469051
152	0.5486474603	0.9880341016
153	0.548770923	0.9879423798
154	0.5486560209	0.9876642671
155	0.5486605032	0.9874765087
156	0.5487206727	0.9871292025
157	0.548849975	0.986772737
158	0.5487009359	0.9865629535
159	0.5489706121	0.9863750656
160	0.5491244034	0.9862204118
161	0.5489484533	0.9860173834
162	0.5487629387	0.9859124055
163	0.5487765136	0.9857558793
164	0.548852641	0.9855411136
165	0.5488341181	0.9852437378
166	0.5490783365	0.9850328432
167	0.5491660434	0.9849212245
168	0.5490971305	0.9846996199
169	0.5493420752	0.9845467259
170	0.5490121798	0.9843772454
171	0.5493553423	0.9842197966
172	0.5500527876	0.9840026728
173	0.550052409	0.9839938401
174	0.5501294453	0.9837311018
175	0.5501069116	0.9835417432
176	0.550133114	0.9834679297
177	0.550502084	0.9832241665
178	0.5503245136	0.9830563324
179	0.5502843043	0.9829175699
180	0.550334913	0.9828002224
181	0.550511345	0.9825634699
182	0.5505758889	0.9823366335
183	0.5505879155	0.9821932656
184	0.5510454216	0.9819968143
185	0.5510213831	0.9818710231
186	0.5510848879	0.9817951111
187	0.5511511017	0.9816258587
188	0.5511664629	0.9814488417
189	0.5514329013	0.9812494236
190	0.5516456824	0.9810461197
191	0.5516543712	0.9809633859
192	0.5520105335	0.9807619382
193	0.5523321583	0.9806467652
194	0.5522719319	0.9805201818
195	0.5526620212	0.9804020695
196	0.5524957958	0.9802368693
197	0.5528155719	0.9798985309
198	0.5527738342	0.9795971779
199	0.5529039176	0.9794188924
200	0.5526923751	0.9792014772
201	0.5528566687	0.9791007079
202	0.5528444096	0.9790991485
203	0.552819536	0.978861934
204	0.5528325145	0.9785826576
205	0.5528723767	0.9784459038
206	0.5532336161	0.9782019639
207	0.5533196251	0.9780695498
208	0.5535480297	0.9777046834
209	0.5536325631	0.9775994173
210	0.5539084836	0.9774669526
211	0.5542478659	0.9773131571
212	0.5543393257	0.9771274346
213	0.5545439926	0.9769264213
214	0.554633306	0.976684138
215	0.5547509472	0.9764907321
216	0.5548618187	0.9763050123
217	0.5550025692	0.9761581566
218	0.5548478658	0.9760178748
219	0.5551551686	0.9757582988
220	0.5551980274	0.9756208519
221	0.5553554263	0.975471348
222	0.5553024251	0.9753699269
223	0.5554201926	0.9751767879
224	0.5553585601	0.9749701863
225	0.5552949951	0.9748517059
226	0.5554819932	0.9746979198
227	0.5553251554	0.9746550733
228	0.5553725227	0.9744977108
229	0.5556771087	0.9743276613
230	0.5559533249	0.9741993461
231	0.5560050817	0.9740556174
232	0.5558898139	0.9739365413
233	0.5560183754	0.9737533843
234	0.5562813797	0.9735892148
235	0.5564293822	0.973416375
236	0.5560979164	0.9731710895
237	0.5563491351	0.9730471868
238	0.5567690799	0.972878981
239	0.5567634778	0.972734889
240	0.5566961874	0.9725949294
241	0.556837927	0.9724227352
242	0.5572159453	0.9722653242
243	0.5569344679	0.9721585115
244	0.5573094607	0.9720113482
245	0.5572133017	0.9718850945
246	0.5572042851	0.9717161178
247	0.5576245915	0.9716175046
248	0.5580090664	0.9714278273
249	0.5579571445	0.9713232367
250	0.5579205832	0.9712024739
251	0.5581378558	0.9708505086
252	0.5585001102	0.9707746006
253	0.5585057682	0.9706261174
254	0.5586566647	0.9704779536
255	0.5585392845	0.9703481461
256	0.5584627256	0.9702370681
257	0.5586351646	0.9700677384
258	0.5586213157	0.9699224047
259	0.5587436118	0.969815389
260	0.5587131742	0.9696222186
261	0.558785004	0.9694723119
262	0.5586274302	0.9691953056
263	0.5587628412	0.9690543388
264	0.5591854202	0.9688108374
265	0.5590950432	0.968558702
266	0.5591705712	0.9683832719
267	0.5592604033	0.9682925474
268	0.5593072257	0.9682239384
269	0.5596132381	0.9680977435
270	0.5598138524	0.9679180007
271	0.559947727	0.9678485663
272	0.5601971247	0.9677212802
273	0.560146953	0.9676762764
274	0.5606047179	0.9675313841
275	0.5605221008	0.9674559638
276	0.5605617952	0.9673013689
277	0.5610251213	0.9671399334
278	0.5609833496	0.9669389285
279	0.5613131063	0.9667988441
280	0.5619952497	0.9666711307
281	0.5622409837	0.9665062149
282	0.5618418899	0.9663487541
283	0.5618917424	0.966236691
284	0.5619311393	0.9660540536
285	0.5617610972	0.9659205839
286	0.5615871321	0.9658608211
287	0.5618899025	0.9657193412
288	0.5621459425	0.9656372376
289	0.5621287196	0.9653232341
290	0.5623825004	0.965178956
291	0.5623239075	0.9651162166
292	0.5622715206	0.9650065071
293	0.5624345827	0.9649108262
294	0.5622656711	0.964786766
295	0.5622414188	0.9647193998
296	0.5623401144	0.9646640582
297	0.5624377753	0.9644156286
298	0.5625511829	0.964306897
299	0.5625808679	0.9640835091
300	0.5625470073	0.9639468513
301	0.5627448537	0.9638437546
302	0.5629886813	0.9636698217
303	0.5630962774	0.9635211552
304	0.5630655924	0.9633742219
305	0.563205037	0.9632900822
306	0.5636713887	0.9631702427
307	0.5636674654	0.9631068176
308	0.5635792074	0.9629490614
309	0.5636753526	0.9628621965
310	0.5637450187	0.9627029991
311	0.5639840055	0.9625250684
312	0.5642988688	0.962312605
313	0.564535599	0.9622290361
314	0.5645989293	0.9620931768
315	0.564688901	0.9618697174
316	0.564813284	0.9617325785
317	0.5651194753	0.9615582657
318	0.56496098	0.9614659138
319	0.5650386345	0.9614222402
320	0.5649243918	0.9613155535
321	0.5650829834	0.9611905724
322	0.5650651205	0.9611597734
323	0.5652362143	0.9609834231
324	0.5655103579	0.9608236732
325	0.5656246368	0.9607274605
326	0.5659186482	0.9606176629
327	0.5658009964	0.9604960396
328	0.5658428587	0.9604289777
329	0.5661267484	0.9603164756
330	0.5660268401	0.9602420872
331	0.5659959391	0.9602064559
332	0.566258893	0.9600866855
333	0.5663519047	0.9600023132
334	0.56643316	0.9599242226
335	0.5666870662	0.9597149622
336	0.5665233523	0.9595904406
337	0.5666773797	0.959509616
338	0.5668071395	0.959391199
339	0.5667264875	0.9593258944
340	0.5667241129	0.9592744936
341	0.5669299531	0.9591605647
342	0.566528022	0.9590424089
343	0.5663661316	0.9589292421
344	0.5664889396	0.9588544246
345	0.5667368289	0.9587531149
346	0.5668539198	0.9586718478
347	0.5671154506	0.9585980258
348	0.5671633359	0.9584643042
349	0.5673054834	0.9583369615
350	0.5674714719	0.9582268078
351	0.5673886359	0.9580306979
352	0.5677352456	0.9579499699
353	0.5675859468	0.9577211068
354	0.5676413859	0.9576375716
355	0.5679064931	0.9575463204
356	0.5679682311	0.957460295
357	0.5682439481	0.9573698549
358	0.5685996982	0.9572919608
359	0.5687099006	0.9571787814
360	0.5685966289	0.9570452595
361	0.5684007372	0.9569192961
362	0.5685001345	0.9568228994
363	0.5685830053	0.9566920981
364	0.5688048671	0.9565773475
365	0.5688951744	0.9564700048
366	0.5692056714	0.9563421142
367	0.5690687257	0.9562622629
368	0.569186943	0.9561549243
369	0.5692716945	0.9560545081
370	0.5693948442	0.9559030223
371	0.5693605095	0.9558425326
372	0.5695749488	0.9557508667
373	0.5694979832	0.955683902
374	0.5696598763	0.9556173873
375	0.5696582348	0.9554553027
376	0.5698918901	0.9553411429
377	0.56994402	0.9552546937
378	0.5699172825	0.9551062928
379	0.5701643349	0.954942631
380	0.5704802481	0.9548335954
381	0.5705885952	0.9547492202
382	0.5707292399	0.9546250037
383	0.5707527891	0.9544590286
384	0.5707746451	0.9543588372
385	0.571218349	0.9540229878
386	0.5711227846	0.9538168302
387	0.5711591145	0.9537419897
388	0.5710506386	0.953640329
389	0.5713238333	0.953464221
390	0.5713607876	0.9533460981
391	0.5717151816	0.9531689544
392	0.5717757671	0.9531405545
393	0.57164989	0.9530784497
394	0.5719527894	0.9529899914
395	0.5717690727	0.9528168836
396	0.5717301466	0.9527792612
397	0.5718340479	0.9527277491
398	0.5721038636	0.952599659
399	0.5722496895	0.9525617838
400	0.5724631116	0.9524534898
401	0.5725982432	0.9523693837
402	0.5726699508	0.9521604205
403	0.5725489421	0.9519539982
404	0.5726711969	0.9518728192
405	0.5727190398	0.9518134521
406	0.5728269596	0.9516591907
407	0.5728521813	0.9515636841
408	0.5729076448	0.9515286982
409	0.5731107519	0.9514978189
410	0.5733775894	0.9514454013
411	0.5731991167	0.9513679778
412	0.5732183979	0.951329277
413	0.5733168884	0.9511802742
414	0.5732849594	0.9511358364
